S.No,Source IATA Code,Destination IATA Code,Flight Company,Source Latitude,Destination Latitude,Source Longitude,Destination Longitude,Miles,Carbon Emission
1,RDU,MIA,AMERICAN AIRLINES,35.877602,25.7932,-78.787498,-80.290604,701.9287082599773,112.52480631581555
2,MIA,EZE,AMERICAN AIRLINES,25.7932,-34.8222,-80.290604,-58.5358,4420.409256658998,708.6270864675405
3,MCI,CLT,AMERICAN AIRLINES,39.2976,35.214001,-94.713898,-80.9431,806.5646740815982,129.29879154991903
4,RDU,ORD,AMERICAN AIRLINES,35.877602,41.9786,-78.787498,-87.9048,645.2884704608351,103.44492154542425
5,MDT,PHL,AMERICAN AIRLINES,40.193501,39.871899,-76.763397,-75.241096,83.48442508366084,13.383223470390979
6,PHL,RDU,AMERICAN AIRLINES,39.871899,35.877602,-75.241096,-78.787498,336.7043107923578,53.97640374551768
7,RDU,LAX,AMERICAN AIRLINES,35.877602,33.942501,-78.787498,-118.407997,2231.9834575117075,357.8048643703401
8,LAX,RDU,AMERICAN AIRLINES,33.942501,35.877602,-118.407997,-78.787498,2231.9834575117075,357.8048643703401
9,RDU,LAX,AMERICAN AIRLINES,35.877602,33.942501,-78.787498,-118.407997,2231.9834575117075,357.8048643703401
10,RDU,DFW,AMERICAN AIRLINES,35.877602,32.896801,-78.787498,-97.038002,1058.401658566486,169.67028165832102
11,DFW,OKC,AMERICAN AIRLINES,32.896801,35.393101,-97.038002,-97.6007,175.3301257055285,28.106826525515256
12,OKC,DFW,AMERICAN AIRLINES,35.393101,32.896801,-97.6007,-97.038002,175.3301257055285,28.106826525515256
13,DFW,IAH,AMERICAN AIRLINES,32.896801,29.9844,-97.038002,-95.3414,224.5441994582613,35.996237589448334
14,LAX,RDU,AMERICAN AIRLINES,33.942501,35.877602,-118.407997,-78.787498,2231.9834575117075,357.8048643703401
15,LGA,RDU,AMERICAN AIRLINES,40.777199,35.877602,-73.872597,-78.787498,430.31549755244646,68.98302840015602
16,RDU,LGA,AMERICAN AIRLINES,35.877602,40.777199,-78.787498,-73.872597,430.31549755244646,68.98302840015602
17,MYR,DFW,AMERICAN AIRLINES,33.679699,32.896801,-78.928299,-97.038002,1045.285280147007,167.56762091250894
18,LGA,RDU,AMERICAN AIRLINES,40.777199,35.877602,-73.872597,-78.787498,430.31549755244646,68.98302840015602
19,RDU,LGA,AMERICAN AIRLINES,35.877602,40.777199,-78.787498,-73.872597,430.31549755244646,68.98302840015602
20,LGA,RDU,AMERICAN AIRLINES,40.777199,35.877602,-73.872597,-78.787498,430.31549755244646,68.98302840015602
21,RDU,LGA,AMERICAN AIRLINES,35.877602,40.777199,-78.787498,-73.872597,430.31549755244646,68.98302840015602
22,DFW,RDU,AMERICAN AIRLINES,32.896801,35.877602,-97.038002,-78.787498,1058.401658566486,169.67028165832102
23,DFW,PHX,AMERICAN AIRLINES,32.896801,33.434299,-97.038002,-112.012001,865.5050372730719,138.7474048838076
24,MSY,CLT,AMERICAN AIRLINES,29.993401,35.214001,-90.258003,-80.9431,650.258927282177,104.24172567174226
25,CLT,RDU,AMERICAN AIRLINES,35.214001,35.877602,-80.9431,-78.787498,129.47313212908,20.755582361123125
26,DFW,PHX,AMERICAN AIRLINES,32.896801,33.434299,-97.038002,-112.012001,865.5050372730719,138.7474048838076
27,DFW,RDU,AMERICAN AIRLINES,32.896801,35.877602,-97.038002,-78.787498,1058.401658566486,169.67028165832102
28,RDU,MIA,AMERICAN AIRLINES,35.877602,25.7932,-78.787498,-80.290604,701.9287082599773,112.52480631581555
29,MIA,BOG,AMERICAN AIRLINES,25.7932,4.70159,-80.290604,-74.1469,1511.9186186505042,242.37269074042771
30,BOG,DFW,AMERICAN AIRLINES,4.70159,32.896801,-74.1469,-97.038002,2442.0715229761336,391.48366764118913
31,RDU,DFW,AMERICAN AIRLINES,35.877602,32.896801,-78.787498,-97.038002,1058.401658566486,169.67028165832102
32,DFW,TUL,AMERICAN AIRLINES,32.896801,36.198399,-97.038002,-95.8881,237.1477865933761,38.01669377620117
33,TUL,DFW,AMERICAN AIRLINES,36.198399,32.896801,-95.8881,-97.038002,237.1477865933761,38.01669377620117
34,DFW,RDU,AMERICAN AIRLINES,32.896801,35.877602,-97.038002,-78.787498,1058.401658566486,169.67028165832102
35,RDU,BNA,AMERICAN AIRLINES,35.877602,36.1245,-78.787498,-86.6782,440.9672227200159,70.69058544591532
36,BNA,RDU,AMERICAN AIRLINES,36.1245,35.877602,-86.6782,-78.787498,440.9672227200159,70.69058544591532
37,DFW,OKC,AMERICAN AIRLINES,32.896801,35.393101,-97.038002,-97.6007,175.3301257055285,28.106826525515256
38,OKC,DCA,AMERICAN AIRLINES,35.393101,38.8521,-97.6007,-77.037697,1154.3312745720732,185.0485691310443
39,DCA,RDU,AMERICAN AIRLINES,38.8521,35.877602,-77.037697,-78.787498,226.70070517770384,36.34194276654638
40,DCA,RDU,AMERICAN AIRLINES,38.8521,35.877602,-77.037697,-78.787498,226.70070517770384,36.34194276654638
41,RDU,DFW,AMERICAN AIRLINES,35.877602,32.896801,-78.787498,-97.038002,1058.401658566486,169.67028165832102
42,DFW,RDU,AMERICAN AIRLINES,32.896801,35.877602,-97.038002,-78.787498,1058.401658566486,169.67028165832102
43,FRA,HEL,LUFTHANSA,50.033333,60.3172,8.570556,24.963301,954.9650463528508,153.08856243478905
44,FRA,PHL,LUFTHANSA,50.033333,39.871899,8.570556,-75.241096,3936.3628589720984,631.0305634778963
45,PHL,FRA,LUFTHANSA,39.871899,50.033333,-75.241096,8.570556,3936.3628589720984,631.0305634778963
46,HEL,FRA,LUFTHANSA,60.3172,50.033333,24.963301,8.570556,954.9650463528508,153.08856243478905
47,PHL,RDU,AMERICAN AIRLINES,39.871899,35.877602,-75.241096,-78.787498,336.7043107923578,53.97640374551768
48,CID,CLT,AMERICAN AIRLINES,41.884701,35.214001,-91.7108,-80.9431,740.747053126592,118.74769859278814
49,CLT,RDU,AMERICAN AIRLINES,35.214001,35.877602,-80.9431,-78.787498,129.47313212908,20.755582361123125
50,RDU,DFW,AMERICAN AIRLINES,35.877602,32.896801,-78.787498,-97.038002,1058.401658566486,169.67028165832102
51,MDT,CLT,AMERICAN AIRLINES,40.193501,35.214001,-76.763397,-80.9431,412.5996276484945,66.1430322492648
52,CLT,TYS,AMERICAN AIRLINES,35.214001,35.811001,-80.9431,-83.994003,176.34339830620226,28.269262256942426
53,LGA,RDU,AMERICAN AIRLINES,40.777199,35.877602,-73.872597,-78.787498,430.31549755244646,68.98302840015602
54,LGA,RDU,AMERICAN AIRLINES,40.777199,35.877602,-73.872597,-78.787498,430.31549755244646,68.98302840015602
55,PHF,CLT,AMERICAN AIRLINES,37.131901,35.214001,-76.492996,-80.9431,281.12130100063456,45.06600111108485
56,CLT,MDT,AMERICAN AIRLINES,35.214001,40.193501,-80.9431,-76.763397,412.5996276484945,66.1430322492648
57,PHF,CLT,AMERICAN AIRLINES,37.131901,35.214001,-76.492996,-80.9431,281.12130100063456,45.06600111108485
58,CLT,MDT,AMERICAN AIRLINES,35.214001,40.193501,-80.9431,-76.763397,412.5996276484945,66.1430322492648
59,COU,DFW,AMERICAN AIRLINES,38.8181,32.896801,-92.219597,-97.038002,489.56161767911385,78.48065702506706
60,DFW,RDU,AMERICAN AIRLINES,32.896801,35.877602,-97.038002,-78.787498,1058.401658566486,169.67028165832102
61,RDU,DFW,AMERICAN AIRLINES,35.877602,32.896801,-78.787498,-97.038002,1058.401658566486,169.67028165832102
62,DFW,COU,AMERICAN AIRLINES,32.896801,38.8181,-97.038002,-92.219597,489.56161767911385,78.48065702506706
63,RDU,PHX,AMERICAN AIRLINES,35.877602,33.434299,-78.787498,-112.012001,1885.4725393253127,302.2563827419208
64,PHX,RDU,AMERICAN AIRLINES,33.434299,35.877602,-112.012001,-78.787498,1885.4725393253127,302.2563827419208
65,GRZ,FRA,AUSTRIAN AIRLINES,46.9911,50.033333,15.4396,8.570556,377.70012735604826,60.54836221409682
66,FRA,IAD,AUSTRIAN AIRLINES,50.033333,38.9445,8.570556,-77.455803,4067.539300636063,652.0592000299271
67,IAD,RDU,AUSTRIAN AIRLINES,38.9445,35.877602,-77.455803,-78.787498,223.98731822451646,35.906965057593375
68,RDU,CLT,AMERICAN AIRLINES,35.877602,35.214001,-78.787498,-80.9431,129.47313212908,20.755582361123125
69,PHX,CLT,AMERICAN AIRLINES,33.434299,35.214001,-112.012001,-80.9431,1768.6708608560068,283.53213611621794
70,CLT,RDU,AMERICAN AIRLINES,35.214001,35.877602,-80.9431,-78.787498,129.47313212908,20.755582361123125
71,BWI,CLT,AMERICAN AIRLINES,39.1754,35.214001,-76.668297,-80.9431,360.58416698306564,57.80453637649379
72,DSM,DFW,AMERICAN AIRLINES,41.534,32.896801,-93.663101,-97.038002,624.4168744866494,100.09903717446139
73,DFW,CLL,AMERICAN AIRLINES,32.896801,30.5886,-97.038002,-96.3638,164.21199560051443,26.32450102445115
74,CLL,DFW,AMERICAN AIRLINES,30.5886,32.896801,-96.3638,-97.038002,164.21199560051443,26.32450102445115
75,DFW,RDU,AMERICAN AIRLINES,32.896801,35.877602,-97.038002,-78.787498,1058.401658566486,169.67028165832102
76,COU,ORD,AMERICAN AIRLINES,38.8181,41.9786,-92.219597,-87.9048,314.7090600480012,50.4503884953196
77,ORD,RDU,AMERICAN AIRLINES,41.9786,35.877602,-87.9048,-78.787498,645.2884704608351,103.44492154542425
78,RDU,LHR,AMERICAN AIRLINES,35.877602,51.4706,-78.787498,-0.461941,3859.827829820337,618.7613839581899
79,RDU,MIA,AMERICAN AIRLINES,35.877602,25.7932,-78.787498,-80.290604,701.9287082599773,112.52480631581555
80,MIA,MID,AMERICAN AIRLINES,25.7932,20.937,-80.290604,-89.6577,681.5212351555725,109.25332456639286
81,MID,MIA,AMERICAN AIRLINES,20.937,25.7932,-89.6577,-80.290604,681.5212351555725,109.25332456639286
82,MIA,RDU,AMERICAN AIRLINES,25.7932,35.877602,-80.290604,-78.787498,701.9287082599773,112.52480631581555
83,CLT,CLE,AMERICAN AIRLINES,35.214001,41.411701,-80.9431,-81.8498,430.7237722697337,69.0484781145583
84,CLT,CLE,AMERICAN AIRLINES,35.214001,41.411701,-80.9431,-81.8498,430.7237722697337,69.0484781145583
85,RDU,ORD,AMERICAN AIRLINES,35.877602,41.9786,-78.787498,-87.9048,645.2884704608351,103.44492154542425
86,CLT,CLE,AMERICAN AIRLINES,35.214001,41.411701,-80.9431,-81.8498,430.7237722697337,69.0484781145583
87,RDU,CLT,AMERICAN AIRLINES,35.877602,35.214001,-78.787498,-80.9431,129.47313212908,20.755582361123125
88,CLT,CLE,AMERICAN AIRLINES,35.214001,41.411701,-80.9431,-81.8498,430.7237722697337,69.0484781145583
89,RDU,CLT,AMERICAN AIRLINES,35.877602,35.214001,-78.787498,-80.9431,129.47313212908,20.755582361123125
90,CLT,CLE,AMERICAN AIRLINES,35.214001,41.411701,-80.9431,-81.8498,430.7237722697337,69.0484781145583
91,CLT,CLE,AMERICAN AIRLINES,35.214001,41.411701,-80.9431,-81.8498,430.7237722697337,69.0484781145583
92,CLT,RDU,AMERICAN AIRLINES,35.214001,35.877602,-80.9431,-78.787498,129.47313212908,20.755582361123125
93,CLT,RDU,AMERICAN AIRLINES,35.214001,35.877602,-80.9431,-78.787498,129.47313212908,20.755582361123125
94,CLT,RDU,AMERICAN AIRLINES,35.214001,35.877602,-80.9431,-78.787498,129.47313212908,20.755582361123125
95,BNA,RDU,AMERICAN AIRLINES,36.1245,35.877602,-86.6782,-78.787498,440.9672227200159,70.69058544591532
96,BNA,RDU,AMERICAN AIRLINES,36.1245,35.877602,-86.6782,-78.787498,440.9672227200159,70.69058544591532
97,BNA,RDU,AMERICAN AIRLINES,36.1245,35.877602,-86.6782,-78.787498,440.9672227200159,70.69058544591532
98,BNA,RDU,AMERICAN AIRLINES,36.1245,35.877602,-86.6782,-78.787498,440.9672227200159,70.69058544591532
99,CLT,RDU,AMERICAN AIRLINES,35.214001,35.877602,-80.9431,-78.787498,129.47313212908,20.755582361123125
100,RDU,LHR,AMERICAN AIRLINES,35.877602,51.4706,-78.787498,-0.461941,3859.827829820337,618.7613839581899
